state,county,city,site,pollutant,date,daily_avg,units_of_measure
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-01,0.636,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-02,0.652696,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-03,0.503043,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-04,0.385826,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-05,0.321727,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-06,0.336739,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-07,0.490391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-08,0.394909,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-09,0.424435,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-10,0.472826,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-11,0.42075,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-12,0.541913,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-13,0.35113,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-14,0.343,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-15,0.239652,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-16,0.358609,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-17,0.473087,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-18,0.562913,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-19,0.619909,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-20,0.302261,Parts per million
